Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",157,696,62,133,131,16,0.159482758,0.251436781,0.375438597,0.340236686,0.310526315,0.424855491,0.685964912,0.45819641417238366,0.463,206.15483678377262,1.043906953651458,84.18512249830577,-0.8965950012207031,11.056256292065035,"Aaron Judge",15640,592450
"Nolan Arenado","STL",148,620,30,73,103,5,0.083870967,0.116129032,0.240574506,0.289760348,0.292639138,0.358064516,0.533213644,0.38100475536559736,0.339,149.23873319731655,0.07027860824018717,35.53895045971729,11.806016430258751,7.210501364977243,"Nolan Arenado",9777,571448
"Manny Machado","SDP",150,644,32,100,102,9,0.097826086,0.206521739,0.233564014,0.337349397,0.297577854,0.366459627,0.531141868,0.38163479654946914,0.338,151.89197100623315,-0.36237174458801746,38.4644998958933,7.2359989285469055,7.124526664230881,"Manny Machado",11493,592518
"Jose Altuve","HOU",141,604,28,103,57,18,0.109271523,0.144039735,0.233396585,0.314769975,0.299810246,0.387417218,0.533206831,0.3968867239761986,0.354,164.41354359861333,0.35697353119030595,44.13754978210227,2.0245167911052704,6.852601033993838,"Jose Altuve",5417,514888
"Paul Goldschmidt","STL",151,651,35,106,115,7,0.121351766,0.216589861,0.260249554,0.367609254,0.317290552,0.403697996,0.577540106,0.4193155593526216,0.367,175.43467587848605,0.9349326160736382,57.99054657645655,-15.330943822860718,6.830527771720041,"Paul Goldschmidt",9218,502671
"Freddie Freeman","LAD",159,708,21,117,100,13,0.118644067,0.144067796,0.18627451,0.358870967,0.325163398,0.406779661,0.511437908,0.3925452781305916,0.403,157.36182044310345,1.6729970490559936,48.857843841946,-8.532934188842773,6.791278592612047,"Freddie Freeman",5361,518692
"J.T. Realmuto","PHI",139,562,22,75,84,21,0.072953736,0.211743772,0.202380953,0.317934782,0.27579365,0.34163701,0.478174603,0.3539975367340387,0.351,128.70202522484274,3.479785297997296,22.220891563588896,21.836897373199463,6.655862509708666,"J.T. Realmuto",11739,592663
"Dansby Swanson","ATL",162,696,25,99,96,18,0.070402298,0.261494252,0.1703125,0.347826086,0.2765625,0.329022988,0.446875,0.3374367519870572,0.337,116.77114989445319,3.706392382737249,17.268227062796853,21.987932205200195,6.635719456252686,"Dansby Swanson",18314,621020
"Trea Turner","LAD",160,708,21,101,100,27,0.063559322,0.185028248,0.168711656,0.341897233,0.297546012,0.342776203,0.466257668,0.3496184023559516,0.335,128.0095265665505,6.57000943319872,29.61016418377838,6.760659158229828,6.376113910193483,"Trea Turner",16252,607208
"Francisco Lindor","NYM",161,706,26,98,107,16,0.083569405,0.188385269,0.17936508,0.30125523,0.269841269,0.338526912,0.449206349,0.34181135130876844,0.331,124.49756976678198,1.1977278687991202,21.292082848107224,14.925184726715088,6.352767074297987,"Francisco Lindor",12916,596019
